Model,Train RMSE,Test RMSE,Train R²,Test R²,Test MAE,Overfitting Gap
Linear Regression,0.5434391077258082,2.2567676744637275,0.9947601381228127,0.9685124577308301,1.7510244788537517,0.026247680391982664
Ridge Regression,0.641903582986798,2.3380593373805696,0.9926893218984979,0.9662031583889128,1.841695790389356,0.026486163509585103
Lasso Regression,0.6702566220451898,2.3480838504165553,0.9920292297900828,0.9659127267683407,1.8703862115032612,0.026116503021742066
Gradient Boosting,0.000219927102104876,4.940715959306317,0.9999999991418256,0.849080682385887,3.6310082887932205,0.15091931675593862
Random Forest,0.6597322102296366,5.48301484530155,0.9922775796331329,0.8141323097253008,4.212690374019982,0.17814526990783208
